Borough,Date,UseOfForceCount,Average Score
Sutton,2022-12-31,359,0.5762
Sutton,2023-03-31,446,0.5662
Sutton,2023-06-30,374,0.5712
Sutton,2023-09-30,356,0.5838
Sutton,2023-12-31,345,0.5575
Tower Hamlets,2017-06-30,290,0.6925
Tower Hamlets,2017-09-30,356,0.6588
Tower Hamlets,2017-12-31,338,0.65
Tower Hamlets,2018-03-31,501,0.625
Tower Hamlets,2018-06-30,768,0.6025
Tower Hamlets,2018-09-30,1407,0.5862
Tower Hamlets,2018-12-31,1859,0.595
Tower Hamlets,2019-03-31,1959,0.5525
Tower Hamlets,2019-06-30,1601,0.5662
Tower Hamlets,2019-09-30,1645,0.5788
Tower Hamlets,2019-12-31,1736,0.5625
Tower Hamlets,2020-03-31,1637,0.5738
Tower Hamlets,2020-06-30,1840,0.5638
Tower Hamlets,2020-09-30,1755,0.565
Tower Hamlets,2020-12-31,1896,0.5475
Tower Hamlets,2021-03-31,1906,0.56
Tower Hamlets,2021-06-30,1598,0.53
Tower Hamlets,2021-09-30,1487,0.5138
Tower Hamlets,2021-12-31,1434,0.5325
Tower Hamlets,2022-03-31,1394,0.5187
Tower Hamlets,2022-06-30,1526,0.5212
Tower Hamlets,2022-09-30,1377,0.505
Tower Hamlets,2022-12-31,1280,0.4838
Tower Hamlets,2023-03-31,1423,0.4838
Tower Hamlets,2023-06-30,1372,0.475
Tower Hamlets,2023-09-30,1672,0.49
Tower Hamlets,2023-12-31,1176,0.4788
Waltham Forest,2017-06-30,332,0.625
Waltham Forest,2017-09-30,400,0.5988
Waltham Forest,2017-12-31,337,0.5588
Waltham Forest,2018-03-31,398,0.5438
Waltham Forest,2018-06-30,499,0.5275
Waltham Forest,2018-09-30,729,0.5212
Waltham Forest,2018-12-31,1153,0.5525
Waltham Forest,2019-03-31,1007,0.5362
Waltham Forest,2019-06-30,1128,0.5512
Waltham Forest,2019-09-30,1189,0.5362
Waltham Forest,2019-12-31,951,0.5212
Waltham Forest,2020-03-31,1127,0.5262
Waltham Forest,2020-06-30,1201,0.5425
Waltham Forest,2020-09-30,1213,0.575
Waltham Forest,2020-12-31,1298,0.575
Waltham Forest,2021-03-31,991,0.5888
Waltham Forest,2021-06-30,1038,0.5775
Waltham Forest,2021-09-30,809,0.565
Waltham Forest,2021-12-31,943,0.5575
Waltham Forest,2022-03-31,857,0.55
Waltham Forest,2022-06-30,848,0.52
Waltham Forest,2022-09-30,929,0.485
Waltham Forest,2022-12-31,803,0.4525
Waltham Forest,2023-03-31,606,0.4425
Waltham Forest,2023-06-30,757,0.4075
Waltham Forest,2023-09-30,746,0.4112
Waltham Forest,2023-12-31,679,0.3988
Wandsworth,2017-06-30,576,0.6662
Wandsworth,2017-09-30,567,0.6788
Wandsworth,2017-12-31,576,0.685
Wandsworth,2018-03-31,551,0.6725
Wandsworth,2018-06-30,650,0.66
Wandsworth,2018-09-30,775,0.6462
Wandsworth,2018-12-31,1212,0.6375
Wandsworth,2019-03-31,1082,0.625
Wandsworth,2019-06-30,1030,0.6225
Wandsworth,2019-09-30,1362,0.6175
Wandsworth,2019-12-31,1105,0.6025
Wandsworth,2020-03-31,1523,0.58
Wandsworth,2020-06-30,1212,0.5912
Wandsworth,2020-09-30,1165,0.595
Wandsworth,2020-12-31,1471,0.595
Wandsworth,2021-03-31,1106,0.6063
Wandsworth,2021-06-30,856,0.5925
Wandsworth,2021-09-30,680,0.5712
Wandsworth,2021-12-31,802,0.5512
Wandsworth,2022-03-31,728,0.515
Wandsworth,2022-06-30,699,0.4925
Wandsworth,2022-09-30,716,0.4875
Wandsworth,2022-12-31,579,0.4762
Wandsworth,2023-03-31,641,0.4825
Wandsworth,2023-06-30,668,0.475
Wandsworth,2023-09-30,664,0.4738
Wandsworth,2023-12-31,567,0.4875
