Borough,Date,UseOfForceCount,Average Score,Outcome: Arrested,Outcome: Hospitalised,Outcome: Detained - Mental Health Act,Outcome: Other
Lewisham,2023-12-31,1213,0.4112,762,73,104,156
Merton,2017-06-30,201,0.6625,155,15,8,34
Merton,2017-09-30,216,0.67,163,7,6,44
Merton,2017-12-31,228,0.6712,177,14,10,34
Merton,2018-03-31,259,0.6712,164,10,18,64
Merton,2018-06-30,226,0.6475,156,10,19,46
Merton,2018-09-30,291,0.6437,223,11,10,51
Merton,2018-12-31,528,0.6425,455,18,12,53
Merton,2019-03-31,430,0.635,361,14,18,52
Merton,2019-06-30,412,0.6325,347,33,21,39
Merton,2019-09-30,588,0.6312,522,18,10,57
Merton,2019-12-31,450,0.6038,397,15,20,37
Merton,2020-03-31,539,0.6125,474,21,9,53
Merton,2020-06-30,656,0.625,565,20,23,74
Merton,2020-09-30,491,0.6125,430,15,21,41
Merton,2020-12-31,562,0.62,479,25,20,54
Merton,2021-03-31,404,0.6238,356,11,5,45
Merton,2021-06-30,481,0.6038,402,24,28,55
Merton,2021-09-30,413,0.5675,328,20,17,33
Merton,2021-12-31,400,0.5525,317,18,18,16
Merton,2022-03-31,390,0.5325,285,17,14,39
Merton,2022-06-30,385,0.535,293,21,26,23
Merton,2022-09-30,359,0.5638,283,19,10,18
Merton,2022-12-31,344,0.56,257,10,16,19
Merton,2023-03-31,343,0.5488,220,32,34,32
Merton,2023-06-30,338,0.5462,223,26,25,31
Merton,2023-09-30,374,0.52,249,33,29,18
Merton,2023-12-31,263,0.5125,211,14,9,17
Newham,2017-06-30,540,0.6987,363,20,23,143
Newham,2017-09-30,666,0.6938,473,25,22,172
Newham,2017-12-31,559,0.6775,357,7,16,174
Newham,2018-03-31,825,0.6487,514,21,25,277
Newham,2018-06-30,766,0.6388,491,32,20,243
Newham,2018-09-30,1403,0.6312,1085,40,28,270
Newham,2018-12-31,2036,0.6338,1744,53,39,268
Newham,2019-03-31,1777,0.6425,1536,37,50,203
Newham,2019-06-30,1872,0.6525,1615,73,56,203
Newham,2019-09-30,2201,0.6437,1852,46,71,292
Newham,2019-12-31,1791,0.61,1537,47,43,213
Newham,2020-03-31,1657,0.5862,1446,34,37,165
Newham,2020-06-30,1986,0.5888,1721,55,65,208
Newham,2020-09-30,2322,0.5712,1985,66,78,259
Newham,2020-12-31,2217,0.5862,1879,58,92,242
Newham,2021-03-31,1981,0.6012,1643,68,66,259
Newham,2021-06-30,1784,0.5738,1513,69,59,212
Newham,2021-09-30,1629,0.56,1296,48,43,129
Newham,2021-12-31,1731,0.54,1311,50,63,151
Newham,2022-03-31,1808,0.4975,1412,55,57,121
Newham,2022-06-30,1571,0.5012,1168,44,56,120
Newham,2022-09-30,1660,0.4888,1246,44,55,124
Newham,2022-12-31,1550,0.4887,1130,73,64,131
Newham,2023-03-31,1198,0.51,792,47,73,143
Newham,2023-06-30,1350,0.4725,983,42,38,115
Newham,2023-09-30,1430,0.48,969,59,53,156
Newham,2023-12-31,1252,0.4775,866,53,50,115
Redbridge,2017-06-30,225,0.6925,165,9,2,60
Redbridge,2017-09-30,302,0.695,203,20,22,73
Redbridge,2017-12-31,360,0.6625,211,12,32,112
Redbridge,2018-03-31,403,0.65,289,16,14,102
Redbridge,2018-06-30,437,0.6162,308,24,22,95
Redbridge,2018-09-30,583,0.6038,449,27,14,116
Redbridge,2018-12-31,708,0.5962,594,20,23,84
Redbridge,2019-03-31,824,0.5625,714,15,32,76
Redbridge,2019-06-30,771,0.5862,695,12,11,85
Redbridge,2019-09-30,855,0.58,770,28,10,70
Redbridge,2019-12-31,1001,0.5938,825,47,33,144
Redbridge,2020-03-31,1018,0.6025,836,38,30,144
Redbridge,2020-06-30,1142,0.6,985,27,30,127
Redbridge,2020-09-30,1031,0.6088,899,30,27,110
Redbridge,2020-12-31,1036,0.6125,898,29,41,95
Redbridge,2021-03-31,1034,0.6013,917,35,20,94
Redbridge,2021-06-30,900,0.58,750,27,31,112
Redbridge,2021-09-30,837,0.54,655,31,14,79
Redbridge,2021-12-31,831,0.5388,613,24,21,89
Redbridge,2022-03-31,868,0.5425,654,17,31,61
Redbridge,2022-06-30,827,0.5325,573,29,42,66
Redbridge,2022-09-30,817,0.5488,537,35,34,63
Redbridge,2022-12-31,814,0.5325,548,36,38,66
Redbridge,2023-03-31,737,0.5138,470,27,39,80
Redbridge,2023-06-30,733,0.4962,455,58,52,68
Redbridge,2023-09-30,638,0.4687,394,22,42,74
Redbridge,2023-12-31,569,0.445,350,34,32,77
Richmond upon Thames,2017-06-30,190,0.6875,164,12,8,14
Richmond upon Thames,2017-09-30,239,0.67,180,13,18,36
Richmond upon Thames,2017-12-31,222,0.665,161,11,27,32
Richmond upon Thames,2018-03-31,263,0.6538,209,9,15,37
Richmond upon Thames,2018-06-30,266,0.6412,183,22,28,47
Richmond upon Thames,2018-09-30,281,0.6338,221,22,14,41
Richmond upon Thames,2018-12-31,385,0.6275,301,30,28,46
Richmond upon Thames,2019-03-31,263,0.61,215,16,17,18
Richmond upon Thames,2019-06-30,322,0.6075,267,18,15,34
Richmond upon Thames,2019-09-30,344,0.6013,286,24,21,32
Richmond upon Thames,2019-12-31,363,0.59,318,9,10,37
Richmond upon Thames,2020-03-31,347,0.6038,307,12,12,28
Richmond upon Thames,2020-06-30,458,0.6262,370,23,27,48
Richmond upon Thames,2020-09-30,404,0.6438,315,37,17,65
Richmond upon Thames,2020-12-31,398,0.6538,344,20,16,39
Richmond upon Thames,2021-03-31,419,0.6612,320,26,34,54
Richmond upon Thames,2021-06-30,341,0.6575,258,18,40,33
Richmond upon Thames,2021-09-30,267,0.64,188,28,22,27
Richmond upon Thames,2021-12-31,293,0.6538,218,19,16,14
Richmond upon Thames,2022-03-31,253,0.6387,191,14,17,7
Richmond upon Thames,2022-06-30,236,0.5975,172,15,11,17
Richmond upon Thames,2022-09-30,223,0.5675,154,14,23,10
Richmond upon Thames,2022-12-31,194,0.5125,145,7,11,10
Richmond upon Thames,2023-03-31,197,0.4888,117,14,28,12
Richmond upon Thames,2023-06-30,184,0.4875,129,18,26,12
Richmond upon Thames,2023-09-30,214,0.4638,118,23,32,26
Richmond upon Thames,2023-12-31,205,0.4875,150,10,10,12
Southwark,2017-06-30,438,0.6712,262,10,15,161
Southwark,2017-09-30,623,0.6625,369,32,24,213
Southwark,2017-12-31,733,0.6688,409,47,44,263
Southwark,2018-03-31,800,0.6575,465,34,32,292
Southwark,2018-06-30,966,0.6438,569,41,47,344
Southwark,2018-09-30,1577,0.6362,1104,53,44,410
Southwark,2018-12-31,1760,0.6075,1422,64,71,271
Southwark,2019-03-31,1919,0.58,1587,67,59,271
Southwark,2019-06-30,1916,0.585,1605,70,53,263
Southwark,2019-09-30,2153,0.5975,1859,78,68,233
Southwark,2019-12-31,2138,0.6175,1827,62,48,255
Southwark,2020-03-31,1745,0.6125,1508,56,52,190
Southwark,2020-06-30,1958,0.61,1698,65,64,193
Southwark,2020-09-30,2082,0.5925,1794,98,48,240
Southwark,2020-12-31,2139,0.5725,1870,67,54,224
Southwark,2021-03-31,2149,0.5588,1862,58,40,250
Southwark,2021-06-30,1957,0.5388,1643,82,59,234
Southwark,2021-09-30,1676,0.5137,1280,77,84,138
Southwark,2021-12-31,1637,0.5138,1252,45,49,141
Southwark,2022-03-31,1720,0.4988,1259,60,59,155
Southwark,2022-06-30,1652,0.4925,1194,50,44,147
Southwark,2022-09-30,1486,0.5088,1055,61,65,154
Southwark,2022-12-31,1344,0.465,923,70,66,106
Southwark,2023-03-31,1456,0.455,975,73,54,126
Southwark,2023-06-30,1292,0.45,815,96,97,122
Southwark,2023-09-30,1352,0.4312,919,73,70,116
Southwark,2023-12-31,1083,0.4375,709,63,76,125
Sutton,2017-06-30,489,0.665,361,30,20,101
Sutton,2017-09-30,301,0.6738,212,27,11,74
Sutton,2017-12-31,245,0.6712,163,23,12,56
Sutton,2018-03-31,284,0.6762,201,16,20,59
Sutton,2018-06-30,342,0.6738,223,32,14,95
Sutton,2018-09-30,425,0.6638,310,15,7,100
Sutton,2018-12-31,694,0.6575,512,31,28,148
Sutton,2019-03-31,552,0.6175,474,25,13,52
Sutton,2019-06-30,568,0.605,434,38,34,84
Sutton,2019-09-30,615,0.5925,487,46,25,89
Sutton,2019-12-31,486,0.6,364,38,39,76
Sutton,2020-03-31,467,0.62,396,28,29,33
Sutton,2020-06-30,614,0.6587,556,19,11,37
Sutton,2020-09-30,494,0.6675,412,41,11,49
Sutton,2020-12-31,554,0.6612,499,16,8,42
Sutton,2021-03-31,540,0.6688,473,18,20,43
Sutton,2021-06-30,515,0.66,433,30,23,52
Sutton,2021-09-30,448,0.655,358,27,20,29
Sutton,2021-12-31,499,0.6525,382,40,27,37
Sutton,2022-03-31,451,0.6375,336,27,17,44
Sutton,2022-06-30,436,0.6062,305,42,25,38
Sutton,2022-09-30,405,0.5888,293,32,9,38
Sutton,2022-12-31,359,0.5762,225,29,12,48
Sutton,2023-03-31,446,0.5662,312,17,11,38
Sutton,2023-06-30,374,0.5712,259,33,13,36
Sutton,2023-09-30,356,0.5838,239,35,25,33
Sutton,2023-12-31,345,0.5575,234,39,13,34
Tower Hamlets,2017-06-30,290,0.6925,178,17,12,102
Tower Hamlets,2017-09-30,356,0.6588,211,15,12,123
Tower Hamlets,2017-12-31,338,0.65,188,11,14,138
Tower Hamlets,2018-03-31,501,0.625,325,21,11,161
Tower Hamlets,2018-06-30,768,0.6025,466,31,20,262
Tower Hamlets,2018-09-30,1407,0.5862,975,28,33,397
Tower Hamlets,2018-12-31,1859,0.595,1526,57,38,312
Tower Hamlets,2019-03-31,1959,0.5525,1692,45,41,263
Tower Hamlets,2019-06-30,1601,0.5662,1413,43,23,177
Tower Hamlets,2019-09-30,1645,0.5788,1457,34,23,178
Tower Hamlets,2019-12-31,1736,0.5625,1541,29,32,172
Tower Hamlets,2020-03-31,1637,0.5738,1454,20,24,175
Tower Hamlets,2020-06-30,1840,0.5638,1638,25,27,187
Tower Hamlets,2020-09-30,1755,0.565,1528,32,35,193
Tower Hamlets,2020-12-31,1896,0.5475,1644,33,32,236
Tower Hamlets,2021-03-31,1906,0.56,1561,49,52,282
Tower Hamlets,2021-06-30,1598,0.53,1358,42,26,215
Tower Hamlets,2021-09-30,1487,0.5138,1168,33,41,139
Tower Hamlets,2021-12-31,1434,0.5325,1075,36,35,136
Tower Hamlets,2022-03-31,1394,0.5187,957,56,65,122
Tower Hamlets,2022-06-30,1526,0.5212,1086,32,37,150
Tower Hamlets,2022-09-30,1377,0.505,964,46,47,115
Tower Hamlets,2022-12-31,1280,0.4838,832,43,46,113
Tower Hamlets,2023-03-31,1423,0.4838,877,39,37,181
Tower Hamlets,2023-06-30,1372,0.475,858,47,52,153
Tower Hamlets,2023-09-30,1672,0.49,973,77,81,195
Tower Hamlets,2023-12-31,1176,0.4788,767,51,71,108
Waltham Forest,2017-06-30,332,0.625,249,21,16,64
Waltham Forest,2017-09-30,400,0.5988,268,33,21,96
Waltham Forest,2017-12-31,337,0.5588,220,22,21,95
Waltham Forest,2018-03-31,398,0.5438,263,17,12,116
Waltham Forest,2018-06-30,499,0.5275,309,16,14,171
Waltham Forest,2018-09-30,729,0.5212,529,21,15,180
Waltham Forest,2018-12-31,1153,0.5525,923,51,23,203
Waltham Forest,2019-03-31,1007,0.5362,863,40,19,135
Waltham Forest,2019-06-30,1128,0.5512,956,27,27,154
Waltham Forest,2019-09-30,1189,0.5362,1030,28,22,142
Waltham Forest,2019-12-31,951,0.5212,798,44,31,118
Waltham Forest,2020-03-31,1127,0.5262,918,40,38,186
Waltham Forest,2020-06-30,1201,0.5425,948,33,36,212
Waltham Forest,2020-09-30,1213,0.575,1015,44,40,157
Waltham Forest,2020-12-31,1298,0.575,989,61,84,228
Waltham Forest,2021-03-31,991,0.5888,824,22,49,133
Waltham Forest,2021-06-30,1038,0.5775,860,39,41,130
Waltham Forest,2021-09-30,809,0.565,630,33,22,108
Waltham Forest,2021-12-31,943,0.5575,695,36,35,107
Waltham Forest,2022-03-31,857,0.55,653,32,28,69
Waltham Forest,2022-06-30,848,0.52,645,18,24,94
Waltham Forest,2022-09-30,929,0.485,669,47,48,108
Waltham Forest,2022-12-31,803,0.4525,525,34,34,106
Waltham Forest,2023-03-31,606,0.4425,414,43,59,45
Waltham Forest,2023-06-30,757,0.4075,541,20,30,58
Waltham Forest,2023-09-30,746,0.4112,513,26,54,76
Waltham Forest,2023-12-31,679,0.3988,488,35,23,71
Wandsworth,2017-06-30,576,0.6662,409,47,36,124
Wandsworth,2017-09-30,567,0.6788,358,39,41,154
Wandsworth,2017-12-31,576,0.685,387,62,29,142
Wandsworth,2018-03-31,551,0.6725,341,34,24,172
Wandsworth,2018-06-30,650,0.66,406,35,32,208
Wandsworth,2018-09-30,775,0.6462,527,43,46,201
Wandsworth,2018-12-31,1212,0.6375,926,65,49,240
Wandsworth,2019-03-31,1082,0.625,819,57,52,214
Wandsworth,2019-06-30,1030,0.6225,787,51,51,197
Wandsworth,2019-09-30,1362,0.6175,1044,51,68,266
Wandsworth,2019-12-31,1105,0.6025,805,61,75,230
Wandsworth,2020-03-31,1523,0.58,1218,31,27,297
Wandsworth,2020-06-30,1212,0.5912,935,48,57,221
Wandsworth,2020-09-30,1165,0.595,881,57,49,238
Wandsworth,2020-12-31,1471,0.595,1199,47,38,219
Wandsworth,2021-03-31,1106,0.6063,852,28,34,218
Wandsworth,2021-06-30,856,0.5925,636,65,55,144
Wandsworth,2021-09-30,680,0.5712,507,26,26,99
Wandsworth,2021-12-31,802,0.5512,541,48,24,128
Wandsworth,2022-03-31,728,0.515,499,35,43,83
Wandsworth,2022-06-30,699,0.4925,495,35,43,85
Wandsworth,2022-09-30,716,0.4875,471,35,47,105
Wandsworth,2022-12-31,579,0.4762,400,28,37,84
Wandsworth,2023-03-31,641,0.4825,411,39,50,85
Wandsworth,2023-06-30,668,0.475,392,58,48,118
Wandsworth,2023-09-30,664,0.4738,403,42,46,107
Wandsworth,2023-12-31,567,0.4875,349,32,25,115
